Date;CCI Total;CCI USA;CCI Europe;;;;;;
1997-05;101.3;102.0;100.8;;;;;;
1997-06;101.4;102.2;100.9;;;;;;
1997-07;101.5;102.3;101.1;;;;;;
1997-08;101.6;102.3;101.3;;;;;;
1997-09;101.5;102.3;101.4;;;;;;
1997-10;101.5;102.3;101.4;;;;;;
1997-11;101.4;102.3;101.4;;;;;;
1997-12;101.4;102.3;101.3;;;;;;
1998-01;101.5;102.4;101.3;;;;;;
1998-02;101.5;102.6;101.4;;;;;;
1998-03;101.6;102.6;101.5;;;;;;
1998-04;101.6;102.6;101.6;;;;;;
1998-05;101.5;102.5;101.7;;;;;;
1998-06;101.5;102.4;101.7;;;;;;
1998-07;101.4;102.2;101.8;;;;;;
1998-08;101.4;102.0;101.8;;;;;;
1998-09;101.3;101.8;101.8;;;;;;
1998-10;101.3;101.7;101.9;;;;;;
1998-11;101.4;101.8;101.9;;;;;;
1998-12;101.5;101.9;101.9;;;;;;
1999-01;101.7;102.1;101.9;;;;;;
1999-02;101.8;102.3;101.9;;;;;;
1999-03;101.8;102.4;101.8;;;;;;
1999-04;101.7;102.4;101.7;;;;;;
1999-05;101.8;102.4;101.7;;;;;;
1999-06;101.8;102.4;101.7;;;;;;
1999-07;101.8;102.4;101.9;;;;;;
1999-08;101.9;102.3;102.0;;;;;;
1999-09;102.0;102.3;102.1;;;;;;
1999-10;102.0;102.3;102.3;;;;;;
1999-11;102.1;102.4;102.4;;;;;;
1999-12;102.2;102.6;102.5;;;;;;
2000-01;102.4;102.8;102.5;;;;;;
2000-02;102.4;102.8;102.5;;;;;;
2000-03;102.3;102.8;102.5;;;;;;
2000-04;102.3;102.7;102.4;;;;;;
2000-05;102.3;102.7;102.4;;;;;;
2000-06;102.3;102.6;102.4;;;;;;
2000-07;102.2;102.6;102.3;;;;;;
2000-08;102.2;102.6;102.3;;;;;;
2000-09;102.1;102.5;102.1;;;;;;
2000-10;102.0;102.4;102.2;;;;;;
2000-11;101.8;102.1;102.2;;;;;;
2000-12;101.6;101.6;102.3;;;;;;
2001-01;101.4;101.1;102.3;;;;;;
2001-02;101.2;100.7;102.3;;;;;;
2001-03;101.1;100.6;102.2;;;;;;
2001-04;101.1;100.5;102.0;;;;;;
2001-05;101.0;100.6;101.9;;;;;;
2001-06;101.0;100.7;101.9;;;;;;
2001-07;100.9;100.6;101.8;;;;;;
2001-08;100.7;100.3;101.6;;;;;;
2001-09;100.4;99.9;101.5;;;;;;
2001-10;100.3;99.7;101.4;;;;;;
2001-11;100.4;99.9;101.4;;;;;;
2001-12;100.5;100.2;101.5;;;;;;
2002-01;100.7;100.6;101.6;;;;;;
2002-02;100.8;100.8;101.7;;;;;;
