Year;United States of America;EU;World;;;;;;;;;;
2024;3.2;2.95;5.2;;;;;;;;;;
2023;3.8;6.4;6.8;;;;;;;;;;
2022;8.00;8.83;7.97;;;;;;;;;;
2021;4.70;2.55;3.47;;;;;;;;;;
2020;1.23;0.48;1.94;;;;;;;;;;
2019;1.81;1.63;2.21;;;;;;;;;;
2018;2.44;1.74;2.44;;;;;;;;;;
2017;2.13;1.43;2.22;;;;;;;;;;
2016;1.26;0.18;1.61;;;;;;;;;;
2015;0.12;-0.0;1.44;;;;;;;;;;
2014;1.62;0.20;2.35;;;;;;;;;;
2013;1.46;1.22;2.62;;;;;;;;;;
2012;2.07;2.66;3.73;;;;;;;;;;
2011;3.16;3.29;4.82;;;;;;;;;;
2010;1.64;1.53;3.35;;;;;;;;;;
2009;-0.3;0.84;2.94;;;;;;;;;;
2008;3.84;4.16;8.95;;;;;;;;;;
2007;2.85;2.51;4.82;;;;;;;;;;
2006;3.23;2.67;4.28;;;;;;;;;;
2005;3.39;2.49;4.11;;;;;;;;;;
2004;2.68;2.29;3.38;;;;;;;;;;
2003;2.27;2.09;3.03;;;;;;;;;;
2002;1.59;2.42;2.83;;;;;;;;;;
2001;2.83;3.37;3.84;;;;;;;;;;
2000;3.38;3.15;3.49;;;;;;;;;;
1999;2.19;2.16;3.08;;;;;;;;;;
1998;1.55;2.42;5.11;;;;;;;;;;
1997;2.34;3.11;5.57;;;;;;;;;;
;;;;;;;;;;;;;
